sent	label
11am	Not Found
Remind me tomorrow 7:50 am	Not Found
Remind me at 11 am	Not Found
I want a cal reminder	Not Found
I wanna set another reminder.	Not Found
PNB cheque withdrawal reminder	Not Found
Reminder for taking chocolate	taking chocolate
Pls Remind me about cleaning tattoo by 4 pm today only	cleaning tattoo
Hey remember me only daily night at once	Not Found
Set reminder for today as Priyesh birthday	Not Found
Thank you the regular reminders ... Please keep them going in the same manner	Thank you the regular reminders and keep them going
Remind me to ignou for admission at 2pm today	ignou for admission
Set a reminder for 1 pm to download my admit card for today	download my admit card
Remind me to txt Manish on 12	txt Manish
Call me everyday 4pm	Not Found
Hi remind me after 30 mind from now today	Not Found
Hi anjali	Not Found
Remind me tomorrow to cut my nails.	cut my nails
Tnx alot u remind me	Not Found
Please can you make sure by calling me again on 8:50 as m smelling late	calling me again on 8:50 as m smelling late
Ur reminder is seen only vn I open app	seen only vn I open app
Today my birth day	Not Found
I got a call remainder jzt now.. I wanted it at 6pm.. How?	How
Remind me to collect a book from bobby at 9.30 pm today	collect a book
Reminder to watch jungle book on starplus	watch jungle book on starplus
Remind me at 5.30pm for sending project message	sending project message
Set a reminder to get account closure form from hdfc bank at 9.30	get account closure form from hdfc bank
Feb 10th	Not Found
2 reminders	Not Found
Can you remind	Not Found
Remind me to wish ujjwal on Friday at 11.58 pm.	wish ujjwal
Set alarm for today 9:36pm	Not Found
please remind me everyday from tommorow at 1230 pm sharp to get ready for college	get ready for college
Remind me in every 1 hour	Not Found
Remind me to return WC book in library tomorrow	return WC book
Even a reminder at 5:15 pm	Not Found
Need a reminder on 30 Nov at 1000 as payment to made	Need a reminder and made
Please call atleast twice .	Not Found
Pls set a reminder	Not Found
I had told you to delete all my alarms. please delete all my alarms	delete all my alarms. please delete all my alarms
Icon finder payment reminder set for 2nd of every month	Not Found
Also schedule it 10.30 am in morning tomorrow	Not Found
This app should work even offline at least it should remind after the reminder has been set	This app should work even offline at least it should remind
Remind me at 12:35pm todat	Not Found
Please remind me 8march for manoj barthday	Not Found
Need reminded for the three jobs	Not Found
I want to deactivated all remind 9051397522	deactivated all remind 9051397522
Will you remind it every year or just this one	or just
Remind me to collect the visa bag on Saturday 8.00 am	collect the visa bag
TNx for reminder me	Not Found
There is a delay in reminder.....	There is a delay
Remind me today 11.30 pm for taking d print out	taking d print out
Please remind me to book travel tickets	book travel tickets
Wake me up at 8:10 in morning	Wake me up
Remind to purchase calender today at 8 30	purchase calender
Set reminder for today 11PM and tomorrow 11 AM to pay TDS for hemant	pay TDS for hemant
Hi can you remind me to check jabong at 3 28 tomorrow	check jabong
Call me on 9773397866	Call me
Yes I know about that because I was using this aap	about that because I was using this aap
Remainder for coaching with sound....10:10 am today	coaching with sound....10:10
Pl give me my alarm detail	give me my alarm detail
And give me a call again at 7:15	give me a call again
Remind me at 4 today to see unacademy video	see unacademy video
Pls set reminder to get ready for delhi flight today	get ready for delhi flight
Can you make a topic for the remember november 18	Not Found
Remind me to get Cash tomorrow at 10:00	get Cash
Import Birthdays from my calander	Not Found
let me know about the haryana roadways bus schedule	about the haryana roadways bus schedule
Vijay	Not Found
Remind me more often	Not Found
Everyday remind me at 11 am , 3pm, 6 pm , 8 pm	Not Found
Do you know i gave some reminders to shruti...	i gave some reminders to shruti...
Hi nalini set reminder	Not Found
How to make a diet reminder	make a diet reminder
Hi..can u set up a reminder to mail airtel for discontinuation of wifi at 6.00pm	mail airtel for discontinuation of wifi
Can you please remind me every two hours instead of every hour ?	Not Found
15 nov my frnd bday. Remind me 14 nov at 11.59 pm	Not Found
Need the reminder for one mpre slot	one mpre slot
Remind me at 10 AM	Not Found
And what about my medicine	what about my medicine
More scheduled for birthday remonder	Not Found
Please remind me daily	Not Found
Can you remind me to exams	exams
Thank you.. Will let you know	Not Found
Remind me to take honey every night at 20:30	take honey
Remind me in an hour to go out to buy a suit	go out to buy a suit
Nop.. Can you set by 11am/12pm to 10pm...	Not Found
Remind me to use my Dena Bank ATM card at any Dena Bank ATM only around 6:30PM today.	use my Dena Bank ATM card at any Dena Bank ATM
Just remind me to message Saloni on insta aftr 10	message Saloni on insta
Can you pls give news about u. P	give news about u. P
How do I get a reminder notification?	Not Found
Remind me to buy pens	buy pens
Remind me for medical claims on 16th 8pm	medical claims
How do I set up activate dnd	Not Found
Reminder to recharge	recharge
Also remind me on Jan 13	Not Found
Please remind me on Monday morning at 10am to be calling levonne	be calling levonne
Aahana! This is your reminder from Haptik! Have a great day!	from Haptik! Have a great day!
reminder for all days	Not Found
Can you remind me of few things akshay	Not Found
Will you please remind me to apply raw milk for skin	apply raw milk for skin
Remind me for check ceptem results daily	check ceptem results
Ya i remember	Not Found
please remind me at 1 clock	Not Found
Reminder to renew the library book	renew the library book
Good afternoon mam	Not Found
set me an alarm	Not Found
Put reminder for me	Not Found
Tonight I have to buy some products from shop. So can you please remind me by 7:30 pm	buy some products
I want to unsubscribe this reminder	Not Found
Could u also remind me abt movie releases?	movie releases
Pls remind me to pay credit card bill at 8.30 pm today	pay credit card bill
What time I will be reminded?	Not Found
How to delete history of reminders	delete history of reminders
Hi good afternoon Srijan,Thanks for Reminding me.	Reminding me
Remind me to ask rohitbhai for journal publishing	ask rohitbhai for journal publishing
Remind to buy a comb	buy a comb
Want to set reminder	Not Found
Remind me to buy mustard old & rice today evening at 6pm	buy mustard old & rice
Thank u.. Pls remind me for sure	Not Found
Remind me to wish 4v on 11 November at 7 a.m.	wish 4v on 11 November
Remind me at 10.30 am on 04/12/2016 about voter id card of bala vishnu	voter id card of bala vishnu
Can u remind to connect to wifi in laptop	connect to wifi in laptop
thanks for the reminder	Not Found
Wanna set reminder for tally entry	tally entry
Actually Abhi just Shadhi attend karke aaya hu dat y alarm set karna pad raha hai	pad raha hai
Can you set reminder for my gym timing ?	my gym timing
Schedule it	Not Found
Remind me from message	Not Found
Any tool you would use. Or would it be this app itself?	Or would it be this app itself
Remind me of this	Not Found
Please remind me tomorrow 13:15 pm	Not Found
Would you remind me to plz order tiffin for my self?	Not Found
Please remind me tomorrow afternoon to deposit cheque in hdfc bank	deposit cheque in hdfc bank
Please remind me to fill form	fill form
It's time to strike one more thing from your to-do list, Swapnil! Let's do it! TASK - pay LIC premium Please remind me of this again tomorrow @ 8pm	strike one more thing and pay LIC premium Please remind me of this again
Total 2 reminder at 1.00 pm and 1.30 pm	Not Found
Remind me for lunch at 12:30 pm	lunch
Remind me to eat chicken burger next Friday at 4:00 pm	eat chicken burger
Remind me to play clash of clans	play clash of clans
Ok thanks for remembering	Not Found
Please remind me for tomorrow meeting with hiren	meeting with hiren
Plz remind me to send the pdf to GP sir	send the pdf to GP sir
Remind me tomorrow to make an announcement at 12:30pm about camp	make an announcement and camp
Previous reminder delete as early as possiblr	Not Found
Set up	Not Found
Set reminder for 20 December 2016 for retuning books (Deeksha) at 0800 AM	retuning books (Deeksha)
Remind to tell cook about salt tomorrow morning	tell cook about salt
Hi, can you remind me to order lunch at 12	order lunch
Thanks shraddha for reminding me	reminding me
Shraddha ...how many types of reminders you can set	Shraddha ...how
Thanks for remind me puneet	Not Found
Can you remind me to visit medical store tomorrow at 10:30am ?	visit medical store
Set this for everyday	Not Found
Can i call you sweet	Not Found
Remind me at 9.00 am tomorrow to take the samples to office	take the samples to office
Please remind me at 9 for Zym	Zym
I want edit this schedule	Not Found
Remind me to change the dimensions in plan tomorrow . around 10 AM	change the dimensions
Can u set a remainder to recharge phone ??	recharge phone
Thanks and set the reminder for daily reminders	daily reminders
Please call me 2 times	Not Found
Can I set reminder	Not Found
Alarm for 7:28 in morning	Not Found
Thanks. These two are the only reminders. I'll let you know if anything.	let you know if anything
Remind me on 11th Jan 2017 for calling customer dev goel.	calling customer dev goel
Remind me at 9 pm to day about bank job for Amit	day about bank job for Amit
28-11-16, Remind me @ 5.30 P.M to go to movie.	go to movie
I wantbto discontinue my reminder	Not Found
Set the reminder to collect agreement copy from Manjunath at 12 pm on 23rd Nov	collect agreement copy from Manjunath
Pls read what I have mentioned above and pls arrange a reminder	Pls read what I have mentioned above
Need to set alarm	Not Found
Thank you for your reminder.	Not Found
9899033936	Not Found
Reminder to buy sweets at 6.30 pm today	buy sweets
Will you remember all the things I message?	all the things I message
And please remind me to give my cloths to laundry	give my cloths to laundry
Remind me on hdfc account at 9.40	hdfc account
Can you remind me to go bank tomorrow at 10 am	go bank
Tommorow	Not Found
I need to change the timings of the reminder	Not Found
I need a reminder to remind me to study	study
Can u plss schedule fa every day @6 in d mrng	fa
And also remind me to take my hard drive when i go to my aunt's house	take my hard drive
Remind me to text Rahul about the sim card tomorrow morning at 8:30	text Rahul about the sim card
Schedule Something else for me....for very sort time...as example just after 5 minutes	Something else for me....for very sort time...as example just
Tell about yourself	yourself
Sir kindly remind me for bringing a knee cap and glycerine for amod g tomorrow since 11 am	bringing a knee cap and glycerine for amod g
Remind me today at 11 57 pm	Not Found
Can you call the other person too?	Not Found
Remind me on 18th to shoot a video	shoot a video
Remind me at 9 PM today to pick handset from ketan shah	pick handset from ketan shah
Gym reminder 4 pm today	Gym
I set it for the wrong time 10pm. My mistake.. also dint get the concept fully. Is it a bot or real people	the wrong time 10pm. My mistake.. also dint get the concept fully and it a bot or real people
10 months gathikedu kondu vannathalla Remind me on tomorrow 9 am	gathikedu kondu vannathalla Remind me
Yes it has been very helpful whole day. Please continue reminding me.	been very helpful and continue reminding me
can you remind me to take my antibiotics twice a day for 5 days starting this Friday	take my antibiotics twice a day for 5 days starting this Friday
Can you also remind me for Namaz timings	Namaz timings
Remind of Chaya's Birthday tomorrow	Chaya's Birthday
U remember that na?	Not Found
Remind me today at 8pm subject Badlapur station	subject Badlapur station
Tomorrow morning at 10 Reminder to take video camera to shop	take video camera and shop
PLease call me at 2. 10 am	Not Found
Can u remind me to submit my physics file and workshops book tomorrow	submit my physics file and workshops book
Reminder me about washing clothes	washing clothes
I have to take my kid for vaccination on this Saturday at 9am pls remind me	take my kid for vaccination
Remind me for tea at 7:30	tea
I have some work. ..remind me at 3pm.	work. ..remind me
Plz remind me to take bike on monday	take bike
It's very important remind me that's it	Not Found
Thanks. Huge help that you remind.	Huge help that you remind
At 11.30	Not Found
Remind with only a message	Not Found
Remind me to buy curd at 8 PM today	buy curd
I told u to remaind mee	Not Found
Give a application which is offline game and amazing	Give a application which and offline game and amazing
I want to set monthly reminder	Not Found
Remind about OLO listing at 6 pm	OLO listing
Reminder for bike service	bike service
I hv reminders in my clock which i can snooze 2-3 times. Is it possible with haptik?	I hv reminders and it possible with haptik
I want to call Shri Yadav ji at 03 pm	call Shri Yadav ji
Need this above reminder of johnson now weekly	Not Found
Set reminder for everyday	Not Found
Remind me to buy tatkal ticket	buy tatkal ticket
Hi, i would like to deactivate the reminders	deactivate the reminders
Can you remind me on 22nd that I have to fill SSC form?	fill SSC form
Will u plz remind me today at 7:30 am	Not Found
Ok and i want reminder regarding meeting with sales tax officer by 1 pm tomorrow	meeting with sales tax
31st jan remind me for marriage ceremony	marriage ceremony
Also i need a reminder on Saturday that is 12 November at 3pm for donating laveena's money and get her prashad	donating laveena's money and get her prashad
Remind me to go to a doctor at 4pm	go to a doctor
Also remind me to at 11.15 am tomorrow to collect Hong Kong forms from RCT	collect Hong Kong forms from RCT
February 8	Not Found
And daily reminder it will same	it will same
I want to know about refer and earn	about refer and earn
alarm at 6:40	Not Found
Remind me to drop the cheque on drop box	drop the cheque on drop box
Yeah...it was good..I would like to set the reminder for everyday	Not Found
remind tomorrow morning at 8:30 am to give one half veg to chembur....n ...half chicken to juhu	give one half veg to chembur....n ...half chicken to juhu
Remind me later	Not Found
Yeah plz remind me otherwise I'll again hv sex without condom	I'll again hv sex without condom
Remind me at 5:30 that I have to go for jogging	go for jogging
I haven't had any reminder from you as yet.. but I hope it works good. So rated 5	works good. So rated 5
Remind me Blood Donation on 26th Dec at 12.30 pm	Blood Donation
Set an alarm after 2 mins	Not Found
Alarm set	Not Found
I want this to be scheduled for everyday	Not Found
Reminder for marriage on 9 dec varun boss shadi at 3:30 pm	marriage and varun boss shadi
Set a reminder to watch a movie today at 7 13 pm	watch a movie
Nov 20th Sunday my Frnd Chanchal birthday.. Can u just remind me before 1day	Not Found
Can you remind me to eat food	eat food
Remind me to visit city hospital at 1pm today	visit city hospital
Can you schedule this for 1 hour	Not Found
I need to set 3 reminder s on different date	s on different date
Reminder only day time morning 10to10pm	Not Found
Please remind me to wash clothes at 5 pm	wash clothes
REMIND ME TO PAY ELECTRIC BILL ON 2/1/17	PAY ELECTRIC BILL
Yah sure mamoon	Not Found
Please change the previous reminder to 10 january	Not Found
Will you remind me about stock market downs or up as told by me	stock market downs or up
Light about that	Not Found
Ty	Not Found
Please remind me to pick sanika at 6.15 pm today	pick sanika
Reminder for tomorrow 11 O'clock a.m allotting glonet Container	allotting glonet Container
What about ATM transaction limit...?	What about ATM transaction limit...
Scheduled alarm	Not Found
Remind me to pay 1620 rs by tomorow evening 8 pm	pay 1620 rs
N about phone	phone
Remind me to buy dis med ,movon p,voglikem0.3,zolfresh,amlopress TL,zoryl m2,at 8 pm	buy dis med
Remind me to take calci please	take calci
Hi I expected a call	Not Found
remind me yearly	Not Found
"Okay please put the subject like ""envelopes"" to know about the reminder"	"put the subject like ""envelopes and the reminder"
I set a reminder just before i tooks only 15mins	Not Found
Can I set more than one alarm	Not Found
Could you please remind me tomorrow at 12 pm	Not Found
remind me to at 10 am to bring gajar, sugar, khowa and milk for vajar halwa	bring gajar and sugar, khowa and milk for vajar halwa
Need a reminder today 8 am	Need a reminder
09.00 hrs	Not Found
Give me call at 8.05 am also	Give me call
Remind me to take backup of nas	take backup of nas
Remind me to prepere a card at 7:30 pm today	prepere a card
set a reminder 6.00 pm	Not Found
Reminder band kar do	Not Found
remind me tomorrow by 12 noon to go to the laundry and cut my nails also	go to the laundry
Please remind me to pay HSBC insurance on 10th Jan	pay HSBC insurance on 10th Jan
I set two reminder	Not Found
I want to set a new to do	do
Please send me reminders from tomorrow	send me reminders
Can u keep my reminders only monday to friday	Not Found
Remind me to listen a song	listen a song
General Reminder ?	Not Found
Pls set me reminder on 9th Dec @ 11 Am	on 9th Dec
Please reminder me at 1.40 pm	Not Found
Giv me infomation about withdrawal n depoait of notes	withdrawal n depoait of notes
When is my next reminder	When
Hi Sayali. Good evening. I need a reminder tomorrow attending dental appointment	attending dental appointment
My tomorrows meeting is pre post on today so remind me for the same	meeting and pre post and the same
Reminder comes only when I open the app	comes only when I open the app
Set the reminder for Monday please at 9 pm	Not Found
Nothing. Thanks for alarm.	Nothing
i want a reminder to eat my breakfast	eat my breakfast
Remind me 2 have bath in an hour	bath
Remind me at 8.30pm today	Not Found
Or muje reminder bandh karna ho to ???	Not Found
Call on my number or on the application alarm will ring	Call on my number or on the application alarm
Can you remind me again in 1 hour	Not Found
Remind me to brush	brush
Remind me a day before	Not Found
More birthday remainder	Not Found
Vitamin D3 reminder on 1st Dec at 9 PM	Vitamin D3
Remind me to reply mails at 4 thanks	reply mails
Remind me after 2minutes	Not Found
Call me at 11:59 on 15 november	Call me
And remember everyday	Not Found
Hi Khushboo. Pl remind me today at 11 to go to army canteen.	Hi Khushboo. Pl remind me and go to army canteen
Please remind me about the Thaikudumbridge event on 16th december	Not Found
Reminder to do trf bank	do trf bank
Reminder to study	study
Do you have anything for group reminders?	Do you have anything for group reminders
can you please set a reminder	Not Found
Remind me of gate class @ 5:30pm	gate class
Remind me for paying thr electricity and phobe bills of this and last month today	paying thr electricity and phobe bills of this and last month
I want reminder for every one hour	Not Found
Want to know about you 😝	Not Found
Remember me to switch on the light	switch on the light
Remind me to Brush	Brush
Pls remind me at 5 pm to wish kirti's b'day	wish kirti's b'day
But... that is diff reminder..	diff reminder..
Need to be reminded to go for a walk at 6 pm	go for a walk
93-55-413999 mr. Virmani remind me to cl him after 15 days	cl him
Will ring some sound to remind me	sound to remind me
Reminder for bike insurance	bike insurance
Remind me to flyt chckin on 27 dec	flyt chckin
Remind me of printing at 12:30 pm	printing
Set one more for 4:30	Not Found
Pls remind me to carry aadhar card tomm	carry aadhar card tomm
How will you remind?	How
I was set reminder for 4 am	Not Found
Remind me to study within 5 minutes	study
8pm and 9pm and 10pm	Not Found
Reminder should be in the form of alarm and it should continue to ring until I snooze..	continue to ring until I snooze
Can you provide some info about the 500&1000 notes matter going on	the 500&1000 notes matter going
Remind me to post the collage I made on instagram tomorrow. Remind me at 5p.m and also 8:30 pm.	post the collage I made
Remind me to 'Meet RAM with last 4 years financial increment chart'. Remind me on 26,27,28 Jan at 10 am and 9 pm	Meet RAM with last 4 years financial increment chart
Remind me to book my train tickets on 18th December 2016	book my train tickets
Im getting better at it. Thank you. Can we reduce the reminders?	we reduce the reminders
Can you remind me at 12 that I have a lunch date at 12.30 pm tomorrow?	lunch date
Hey set me a alarm for 3:00am today	Not Found
Remind me to pay the maid at 11.45 today	pay the maid
Put this reminder for every day	Not Found
Remind me on 8th Nov 11:30pm for Rashi's birthday	Rashi's birthday
Allright	Not Found
Everyday remind me	Not Found
Remind me at 8.15pm	Not Found
12:00 AM	Not Found
Can you remember me at 3pm	Not Found
Thanks a lot for continuously reminding me.	lot for continuously reminding me
Yes today	Not Found
Heard about the SMS blocking service.	the SMS blocking service
thanks for the all reminders..	the all reminders
Remind me today 7 pm to swipe the card	swipe the card
Alert	Not Found
I need u to plan me a schedule for daily routine activities	plan me a schedule for daily routine activities
can u giv me a fake call now	Not Found
Reminder today at 11 Pm to take tie for sure a must	take tie for sure a must
Please do remind me to get 250 from mom for the pass tomorrow	get 250 from mom for the pass
I forget usually :(	(
9033736755	Not Found
Set an alarm for 7am today	Not Found
Call at 6:15	Call
Remind me to visit the acads at 5 pm today	visit the acads
Plz remind me for interview scheduling by 1:30 pm	interview scheduling
Pls remind by 6	Not Found
When u r the calling	Not Found
Can we set this up for all weekdays	Not Found
Reminder lagado Task:Wham app kholne ke liyr Time:5:42 pm Date:today	:Wham app kholne ke liyr
Could you remind me to web check in on 12th JANUARY 2017	web check
Yes it did help. Pls remind everyday	Not Found
Also do I need to be online always to receive reminders?	receive reminders
remind me to study at 4pm	study
Too late reminder	Not Found
Please mention that the reminder is for envelope	envelope
Hi Pooja , thanks for taking utmost care in reminding me ...Thank you very much.	taking utmost care in reminding me ...Thank you very much
Reminder for diet	diet
And one more more reminded I want to set at 10:10pm today for bringing toothpaste at home	bringing toothpaste
Remind for katyal	Not Found
Tell me something about hotstar app	something about hotstar app
WHATS THE REMINDER TIME???	Not Found
set 3 reminders at the interval of 10 mins at 12:10 Pm today.	Not Found
Can you call me today at 6 pm for meeting	meeting
Reminder for what??	what??
Remind me To talk to jones about Sam's Birthday party	talk to jones about Sam's Birthday party
1st jan Tds 39600 pay Remind me at 11 a.m	Not Found
Set remainder	Not Found
Can you please tell me how I removed calls	how I removed calls
Hello please remind me tomorrow at 11 Am for ID CARD collection	ID CARD collection
Aj raat 9,15pm mujhe remind karna	Not Found
Remind to take my toothbrush	take my toothbrush
Pls remind me at 9.30 to leave for theatre	leave
Remind me to do CV at 3.30pm and 4pm today	do CV
I want a reminder on Sunday a day before	Not Found
Remind me by 9:30pm to add lnt infotech job in my excel file in my laptop	add lnt infotech job and file
Add a remainder at 7.50 and 7.55 in it and also 8.05 in it	Not Found
Good morng	Not Found
Do you send the Birth day wish to the birthday boy directly to the Singapore time	Not Found
Meeting Reminder Date: November 18, 2016 Time: 5 55 p.m. Meeting with: Pallabi Venue: DB KT	DB KT
"Don""t call me."	t call me
remind me to change my idea subscription on 19th of this month	change my idea subscription
Remind me to take 1500 balance @17:00 clock	take 1500 balance
Remind me tomorrow to talk to Ramesh	talk to Ramesh
Remind me 6.30 p.m on Saturday ⌚	Not Found
10:00 am	Not Found
Give me 2 calls one after the other	Give me
Remind me for traveling to bandra terminus on 17 nov at 4 pm by calling me	traveling to bandra terminus and calling me
And remind me to buy dettol and gram @9:30	buy dettol and gram
Can you remind daily ?	Not Found
Can u remind me that i have to fuck my wife tomorrow at 6 pm	fuck my wife
Can you change title msg?	Not Found
call pavitra on her birthday today at 1115	call pavitra on her birthday
Could you postpone this reminder on 4th dec	Not Found
Hi, Kindly remind me on 10 november 9:30 am for registration of creta	registration of creta
After 2 min remind me to coffee	coffee
Remind me to talk fees for maths tution at 3 pm on 9.11.16 that is tomorrow	talk fees for maths tution
Can you remind me at 8 pm today that i have a cigarette in my pocket	i have a cigarette in my pocket
11 dec my bua's birthday	dec my bua's birthday
Can you remind me to collect the hall ticket for jlpt exam on Thursday	collect the hall ticket for jlpt exam
I want to set one reminder	Not Found
For the past week I haven't received any reminder which was set	Not Found
I want same reminder at 4 pm also	Not Found
Can you remind me for reading	reading
I want to be reminded about it everyday	Not Found
Thank-you so much for the reminder	Not Found
Remind me on 11/11 to shop on aliexpress	shop on aliexpress
Oops sorry..I just wrote wrong..its 12PM to 11PM..	Not Found
Thanks vanisha for reminder	Not Found
Remind me about going out	going out
Make wakeup reminder today at 4:50am	Make wakeup
Remind me tomorrow to write the society cheque	write the society cheque
For reminder alert	Not Found
Remind 6.30	Not Found
Her birthday is today and I want to wish her after 5 pm	Her birthday and wish her
Hi i need to alter my remainder	Not Found
Pls set an alarm for me	Not Found
Nops	Not Found
Remind me to recharge my mobile on 30th of this month	recharge my mobile
Remind me to look for meera's glasses at 4 pm tomorrow.	look for meera's glasses
Is internet connections needed for setting reminders	internet connections needed for setting reminders
What do you think about vulgarity?	What do you think about vulgarity
Thank you! Am liking the reminders	liking the reminders
Reminders are coming in app. It should come on my phone screen	Reminders are coming and come on my phone screen
You will remind me for what?	what?
I'd like it if the reminders were sent without the picture/meme	the reminders were sent without the picture/meme
Remind I take a print at today 5 pm	I take a print
Will a Alarm ring or what kind of reminders is this ?	Alarm ring or what kind of reminders
Hi, thankyou very much for the reminders. Now on, I won't be needing these :)	the reminders
Call on 8890031716	Call
Call me at 2:21 am	Not Found
CALL BINU BIJU AT5PM TODAY	CALL BINU BIJU
Karkandu distribution on Thursday	Karkandu distribution
Thanks fr all the reminders	all the reminders
Hi, can you remind me at 9pm to wash my face?	wash my face
Hi pls remind to buy Oil Ultidurm tomorrow around 1	buy Oil Ultidurm
26 of November get together. ..at 5	get together
Schedule it as interview preparation	interview preparation
Hi can u remind me to fill up some Important forms and submit	fill up some Important forms and submit
Thanks for reminding me every 30 minutes, okay I need a change instead of every 30 minutes set as every 120 minutes starting from 8 am to 10 pm	I need a change instead of
Call Aunty tomarrow	Not Found
I want to know about aircel rate cutter	about aircel rate cutter
I am again getting haptik calls from shradhay	getting haptik calls from shradhay
Remind me today evening 8.30 pm that I need to get my bank details	I need to get my bank details
Hi.. Remind me to take banana morning at 8.45	take banana morning
Please do call twice at 5.30 and 5.35 as well	Not Found
Remind me at 10 am everyday to give food to tortoise	give food to tortoise
Remind me to pay joshua 700 rs	pay joshua 700 rs
Set me reminder to fill form of exams	fill form of exams
Meeting Reminder Date: November 15, 2016 Time: 6 30 PM Meeting with: Geekyranjith	Not Found
Call Kashif for sure tomorrow at 11 am	Call Kashif for sure
can u remind me to wear uniform every first Monday of a month?	wear uniform
All 4 reminder set?	Not Found
Remind me tomorrow to take key before going to office.	take key
Anjali..is there any way to put alarm?	Anjali..is there any way to put alarm
How do you do that?	Not Found
Remainder	Not Found
Sorry I need every reminder 4 hrs before please	Not Found
Shraddha 4.30 alarm plz..😉😉	Not Found
Can set reminder for this sat 8 pm for biryani order for Oshiwara store	this sat 8 pm for biryani order for Oshiwara store
I want to know about a website can you help me with it	Not Found
Good morning Can I tell me . Konsi bank me bhid ni hogi....	Konsi bank me bhid ni hogi....
Hi. Pls remind me to produce the mini marathon spot at 1030 am today.	produce the mini marathon spot
Tuesday remind me in morning 11am that i have a meeting with sparkle clinic @5.30	meeting with sparkle clinic
Can u set a reminder when I reach a particular location	particular location
Hi.. Would you please remind me on 20th December to close my meet up subscription	close my meet up subscription
Càncel my alarm that is fixed for morning	fixed for morning
Reminder for today's dineer	today's dineer
Single special reminder?	Not Found
Basically 2 calls	Not Found
Tomorrow at 9 remind me to deposite the cheque	deposite the cheque
Remind me that I have to repair my slippers at around 7 pm	repair my slippers
Hey please remind me to buy physics practical file, physics manual and of forms... At 12.	buy physics practical file, physics manual and of forms...
How will you remind me ? Through a message ??	How and ? Through a message
Message the remainder	Not Found
Thanks shraddha for reminder.	Not Found
Now make daily alarm at 11:00 pm for teeth brush.	teeth brush
Can it be set for daily	Not Found
Thanks for the reminder.	Not Found
Set reminder for 29 december 8-30 Am for driving school	driving school
Remind me to complete the message I was preparing on relationship on 1Sam20:1-42 Time. 2pm Date.... Today 27 November	complete the message I was preparing on relationship
Tomorrow 4 pm remind me to talk Dhirubhai	talk Dhirubhai
Remind me to fuck you	fuck you
Thank for remind	Not Found
Remind me to go to income tax office tomorrow @10.45am	go to income tax office
Remind me to 'Laundry' at 9 15 AM on 29-12-2016	'Laundry'
Again remind me at 12afternoon today for a matress	a matress
Hi, I wish to discontinue this reminder now.	discontinue
Pls remind me after 1 hour	Not Found
You may assist me as about notebandi	notebandi
Thankew for reminding shraddha	reminding shraddha
Hi I wanted to set a reminder for a couple of grocery things that I want to buy today	buy
Thank you for remind me	Not Found
Meeting Reminder Date: November 17, 2016 Time: 3 00 p.m. Meeting with: Hair dresses	Hair dresses
I am in party. Please remember me to go to home at 9 pm	go to home
i am getting unscheduled calls everyday pls stoo it	Not Found
Remind me to add benificiary after 24 hours to UBI account of SHEKHAR ICICI	add benificiary and UBI account of SHEKHAR ICICI
Please remind me for face pack	face pack
Remind me about my doc appointment tom at 11am	my doc appointment
Frequency of Reminders: 30 minutes	Not Found
Remind me at3:45 to go to Manea at 4	go to Manea
Remind me to send products catalogue to popat raja	send products catalogue to popat raja
3 pm set a reminder	Not Found
Reminder To Watch Porm	Watch Porm
06:00 AM	Not Found
Thanks :-)	)
Thanks for remind me....have a good day ahead	have a good day ahead
Remind me tomorrow at 11am to book the tatkal tkt	book the tatkal tkt
Set a general reminder for 10 pm tonight please .	Not Found
I need to sex by 10pm remind me	Not Found
Reminder on Sunday 8.30 am and 9 am	Not Found
What is the mode to remind me?	What is the mode to remind me
Remind me after 20 mins to do laughing	do laughing
Pleaae discontinue this reminder.	Not Found
Okay. This is the first time that I'm setting up a task in reminder channel.	setting up a task
Remind me jogging in 20 mins	jogging
Reminder to send cv for SIP at 3.30 PM	send cv for SIP
Remind me by friday that i have to submit my weekly project report to my organization	submit my weekly project report to my organization
Can I synchronise birthday of my friends from Facebook to this remainder???	Not Found
You have set it as daily alarm right	Not Found
Ok thanks ok bye take care I have some work new reminder for me at schedule that I should do at a time homework I want first two hours homework homework and then 2 hours playing then going to Tution then I want the least 2 days and this schedule should be cancelled after 2 days	Not Found
Set up both of them	Not Found
Ok. Remind me after 3 minutes that i need to go to study for a while	go to study for a while
Remind me today evening at 03:00 pm to leave office to pack the luggage and catch the flight	leave office to pack the luggage and catch the flight
98-12-280122 Remind me to mr. Abhay Arora on Monday at 11am	mr. Abhay Arora
I should call judge husband at 8.30	call judge husband
Remind me to ommorrow	Not Found
Can you put a reminder for my friend too?	my friend too
Yes if possible please keep this as reminder for everyday	Not Found
I want to set another alarm	another alarm
Remind me for newspaper tomorrow 4pm.	newspaper
Can you tell me how to compliant about tele marketing company	how to compliant about tele marketing company
Tanx for remind	Not Found
Can u remember me. At. Today..5:00pm	Not Found
Thank-you for reminding me	reminding me
Ok thanq shilpa. But u have to remind me at jan28th midnight.	Not Found
Reminder Tomorrow at 8am for yoga	yoga
